用户ID,注册时间,性别,年级,学院,累计订单数,累计消费金额,平均客单价,最后下单时间,用户等级
wx_100001,2024-02-04,男,大一,经济管理学院,2,84.48,42.24,2024-05-16,钻石
wx_100002,2024-01-12,女,大一,外国语学院,12,321.09,26.76,2024-04-22,白银
wx_100003,2024-01-19,男,大四,机械工程学院,22,105.07,4.78,2024-05-18,青铜
wx_100004,2024-01-17,男,大四,外国语学院,8,249.59,31.2,2024-05-11,黄金
wx_100005,2024-02-19,女,大二,艺术学院,9,193.49,21.5,2024-05-03,青铜
wx_100006,2024-01-04,女,大四,艺术学院,16,175.9,10.99,2024-05-14,白银
wx_100007,2024-02-23,男,大三,艺术学院,7,105.24,15.03,2024-04-27,白银
wx_100008,2024-01-03,男,大四,机械工程学院,4,59.58,14.89,2024-04-24,青铜
wx_100009,2024-01-18,女,大四,外国语学院,3,76.87,25.62,2024-04-23,钻石
wx_100010,2024-02-01,男,大四,机械工程学院,15,69.99,4.67,2024-05-14,钻石
wx_100011,2024-01-12,女,大一,外国语学院,2,293.7,146.85,2024-05-09,青铜
wx_100012,2024-02-28,女,大三,艺术学院,7,390.76,55.82,2024-05-10,钻石
wx_100013,2024-02-25,女,大一,计算机学院,18,224.65,12.48,2024-04-27,黄金
wx_100014,2024-02-24,女,大四,艺术学院,24,305.74,12.74,2024-05-04,黄金
wx_100015,2024-01-11,女,大四,经济管理学院,5,458.47,91.69,2024-05-12,黄金
wx_100016,2024-01-06,男,大三,外国语学院,19,227.57,11.98,2024-05-01,黄金
wx_100017,2024-01-24,女,大三,艺术学院,1,105.94,105.94,2024-05-02,黄金
wx_100018,2024-02-23,女,大二,机械工程学院,15,57.77,3.85,2024-05-20,钻石
wx_100019,2024-01-03,女,大四,艺术学院,7,233.87,33.41,2024-05-02,青铜
wx_100020,2024-01-18,女,大一,机械工程学院,6,166.1,27.68,2024-04-25,黄金
wx_100021,2024-01-17,女,大二,经济管理学院,21,128.52,6.12,2024-04-23,青铜
wx_100022,2024-01-15,男,大一,经济管理学院,22,278.02,12.64,2024-05-06,黄金
wx_100023,2024-01-03,男,大一,外国语学院,9,57.25,6.36,2024-04-23,黄金
